frame_id,weight
1.000000000000000000e+00,2.006671314421992460e-07
2.000000000000000000e+00,8.241053891347839472e-08
3.000000000000000000e+00,1.699965307604069399e-07
4.000000000000000000e+00,1.830442432686951720e-07
5.000000000000000000e+00,9.822189202279802047e-08
6.000000000000000000e+00,2.336508180254646819e-04
7.000000000000000000e+00,1.017742338545891883e-05
8.000000000000000000e+00,4.201635263661837079e-06
9.000000000000000000e+00,6.004894626957106234e-07
1.000000000000000000e+01,2.343282880402539088e-06
1.100000000000000000e+01,1.822329541792734128e-06
1.200000000000000000e+01,7.662196203429183103e-07
1.300000000000000000e+01,5.854998732700336910e-05
1.400000000000000000e+01,7.291492444365763965e-07
1.500000000000000000e+01,6.444027559949338103e-05
1.600000000000000000e+01,5.537025798753770677e-06
1.700000000000000000e+01,2.232300979797732635e-05
1.800000000000000000e+01,1.296096629262551455e-05
1.900000000000000000e+01,3.415753229420420288e-07
2.000000000000000000e+01,2.508286872500051835e-06
2.100000000000000000e+01,2.750142411591278911e-05
2.200000000000000000e+01,1.064651580690717525e-05
2.300000000000000000e+01,4.855101274406121455e-05
2.400000000000000000e+01,4.616306231511543151e-03
2.500000000000000000e+01,5.819522483331766860e-02
2.600000000000000000e+01,1.058203510465557972e-05
2.700000000000000000e+01,2.844040124692497790e-06
2.800000000000000000e+01,6.065119181686275075e-04
2.900000000000000000e+01,6.515060140814491613e-04
3.000000000000000000e+01,1.040678499785798345e-04
3.100000000000000000e+01,4.507425376650315771e-03
3.200000000000000000e+01,2.885895989141781803e-02
3.300000000000000000e+01,4.578411911299882890e-03
3.400000000000000000e+01,1.319586860121808869e-02
3.500000000000000000e+01,2.472908791493116037e-05
3.600000000000000000e+01,1.138057894230143016e-02
3.700000000000000000e+01,3.326681827836986630e-03
3.800000000000000000e+01,5.900293742092686187e-05
3.900000000000000000e+01,1.695094441902616662e-06
4.000000000000000000e+01,2.754418896133782645e-04
4.100000000000000000e+01,9.661176669593320512e-03
4.200000000000000000e+01,3.533518076641357789e-04
4.300000000000000000e+01,5.446089625593888853e-04
4.400000000000000000e+01,1.082017821725417316e-04
4.500000000000000000e+01,7.184202685725837650e-04
4.600000000000000000e+01,1.163495907721022926e-04
4.700000000000000000e+01,1.762137910691812751e-03
4.800000000000000000e+01,2.298684327635009024e-03
4.900000000000000000e+01,1.642845323265195931e-02
5.000000000000000000e+01,1.315734432233913636e-03
5.100000000000000000e+01,1.154472997330502175e-03
5.200000000000000000e+01,1.893280956783687224e-03
5.300000000000000000e+01,7.942422638370403665e-05
5.400000000000000000e+01,1.964678215285570705e-04
5.500000000000000000e+01,3.565272223682858233e-03
5.600000000000000000e+01,1.134471659138589078e-01
5.700000000000000000e+01,1.144507355721334236e-03
5.800000000000000000e+01,2.514441533052897684e-04
5.900000000000000000e+01,6.167232042436842591e-04
6.000000000000000000e+01,9.057657781055085183e-05
6.100000000000000000e+01,1.286457445637216608e-05
6.200000000000000000e+01,8.282649454931612727e-05
6.300000000000000000e+01,5.610437264005117104e-05
6.400000000000000000e+01,1.349417020880100543e-06
6.500000000000000000e+01,1.410897700165879919e-05
6.600000000000000000e+01,6.613552429485693564e-05
6.700000000000000000e+01,5.760499820900888078e-06
6.800000000000000000e+01,6.499689365349479933e-07
6.900000000000000000e+01,6.071788160202795912e-08
7.000000000000000000e+01,5.422366674914261492e-04
7.100000000000000000e+01,2.930364357511649529e-05
7.200000000000000000e+01,6.586892620566728891e-06
7.300000000000000000e+01,1.129213921075141981e-08
7.400000000000000000e+01,2.567214302500372179e-06
7.500000000000000000e+01,1.085850212570899990e-05
7.600000000000000000e+01,2.215034818737897262e-06
7.700000000000000000e+01,1.620519087421901105e-04
7.800000000000000000e+01,1.281453514735930201e-02
7.900000000000000000e+01,1.321689086460592182e-03
8.000000000000000000e+01,5.573070955081492906e-04
8.100000000000000000e+01,2.847314668721405521e-05
8.200000000000000000e+01,8.693883246129690374e-05
8.300000000000000000e+01,3.045352601713982786e-08
8.400000000000000000e+01,3.545333946957654250e-07
8.500000000000000000e+01,1.934118043747353851e-06
8.600000000000000000e+01,5.912901187835452239e-06
8.700000000000000000e+01,4.513952558919781549e-08
8.800000000000000000e+01,2.512081876585110463e-08
8.900000000000000000e+01,2.896356328280736785e-07
9.000000000000000000e+01,2.050205569363375076e-06
9.100000000000000000e+01,5.206434307860739947e-08
9.200000000000000000e+01,1.191740702764709400e-06
9.300000000000000000e+01,2.786912791068151396e-07
9.400000000000000000e+01,9.805293671283149957e-07
9.500000000000000000e+01,4.008107263310083926e-06
9.600000000000000000e+01,1.258228323545106460e-05
9.700000000000000000e+01,4.395887178252336665e-08
9.800000000000000000e+01,2.356446115894947851e-07
9.900000000000000000e+01,2.378199501397563110e-06
1.000000000000000000e+02,3.093947863830820754e-07
1.010000000000000000e+02,4.163560678763635320e-08
1.020000000000000000e+02,8.474909479589796221e-08
1.030000000000000000e+02,2.772753580466320238e-07
1.040000000000000000e+02,1.064061888626629025e-07
1.050000000000000000e+02,1.063548711629064699e-05
1.060000000000000000e+02,2.459477118346637883e-07
1.070000000000000000e+02,1.189144928337476753e-05
1.080000000000000000e+02,9.960690634168987197e-04
1.090000000000000000e+02,1.154382791228430587e-04
1.100000000000000000e+02,3.125223446536343256e-06
1.110000000000000000e+02,5.414258486620822331e-04
1.120000000000000000e+02,3.419689944241240489e-08
1.130000000000000000e+02,1.016909545833691075e-06
1.140000000000000000e+02,6.751260166400259595e-05
1.150000000000000000e+02,8.575423491271397518e-05
1.160000000000000000e+02,4.510280202452319203e-08
1.170000000000000000e+02,4.830634019020591866e-08
1.180000000000000000e+02,1.386274766700491888e-04
1.190000000000000000e+02,2.163523450862392680e-07
1.200000000000000000e+02,3.030148005852605162e-04
1.210000000000000000e+02,2.465896019328101891e-05
1.220000000000000000e+02,6.855899162026996571e-04
