frame_id	uniform_weight	reconstructed_weight
1.000000000000000000e+00	8.368200836820083180e-04	2.802239463621152539e-16
2.000000000000000000e+00	8.368200836820083180e-04	5.328323542797238148e-11
3.000000000000000000e+00	8.368200836820083180e-04	6.258660599594293914e-14
4.000000000000000000e+00	8.368200836820083180e-04	2.751875326999887935e-15
5.000000000000000000e+00	8.368200836820083180e-04	1.680133972614394320e-15
6.000000000000000000e+00	8.368200836820083180e-04	2.480661351110419225e-07
7.000000000000000000e+00	8.368200836820083180e-04	3.702277704579074020e-09
8.000000000000000000e+00	8.368200836820083180e-04	9.970859793376003804e-10
9.000000000000000000e+00	8.368200836820083180e-04	1.269521886564943195e-14
1.000000000000000000e+01	8.368200836820083180e-04	2.128622604770638831e-13
1.100000000000000000e+01	8.368200836820083180e-04	6.883556839827385740e-12
1.200000000000000000e+01	8.368200836820083180e-04	7.522836467296904568e-07
1.300000000000000000e+01	8.368200836820083180e-04	3.366064038033668911e-09
1.400000000000000000e+01	8.368200836820083180e-04	7.680268070219058797e-16
1.500000000000000000e+01	8.368200836820083180e-04	7.602221345018558191e-11
1.600000000000000000e+01	8.368200836820083180e-04	1.271028154820800152e-14
1.700000000000000000e+01	8.368200836820083180e-04	1.746040665675285736e-12
1.800000000000000000e+01	8.368200836820083180e-04	7.925223446604782087e-10
1.900000000000000000e+01	8.368200836820083180e-04	4.509226737048228337e-15
2.000000000000000000e+01	8.368200836820083180e-04	1.663013234079703615e-15
2.100000000000000000e+01	8.368200836820083180e-04	8.197378892197251048e-12
2.200000000000000000e+01	8.368200836820083180e-04	8.453720831169367182e-12
2.300000000000000000e+01	8.368200836820083180e-04	1.264434462848648755e-07
2.400000000000000000e+01	8.368200836820083180e-04	3.881299221363340018e-02
2.500000000000000000e+01	8.368200836820083180e-04	2.001921295560413639e-03
2.600000000000000000e+01	8.368200836820083180e-04	1.150001732690259818e-13
2.700000000000000000e+01	8.368200836820083180e-04	7.556110021277026282e-13
2.800000000000000000e+01	8.368200836820083180e-04	4.219387894274652384e-02
2.900000000000000000e+01	8.368200836820083180e-04	2.406689682544027051e-06
3.000000000000000000e+01	8.368200836820083180e-04	1.687061349786776909e-10
3.100000000000000000e+01	8.368200836820083180e-04	1.775884057703163015e-05
3.200000000000000000e+01	8.368200836820083180e-04	3.608443243485329253e-04
3.300000000000000000e+01	8.368200836820083180e-04	4.544405651614264667e-04
3.400000000000000000e+01	8.368200836820083180e-04	1.575862011705939417e-05
3.500000000000000000e+01	8.368200836820083180e-04	1.620676841755055022e-07
3.600000000000000000e+01	8.368200836820083180e-04	3.013972940059148433e-04
3.700000000000000000e+01	8.368200836820083180e-04	4.758119416889892330e-06
3.800000000000000000e+01	8.368200836820083180e-04	5.641761616645093518e-10
